scenario_name,has_minimized,cov_time,strm,statm,covm,rse50_check,rse30_check,which_bad_rse,bad_rse_values
strm_2_statm_2_covm_8_clint_pooled_covs_unchanged,TRUE,00:00:05,2,2,8,TRUE,TRUE,,
strm_2_statm_2_covm_9_clint_pooled_covs_unchanged,TRUE,00:07:15,2,2,9,TRUE,TRUE,,
strm_2_statm_2_covm_10_clint_pooled_covs_unchanged,TRUE,00:07:06,2,2,10,TRUE,TRUE,,
strm_2_statm_2_covm_11_clint_pooled_covs_unchanged,TRUE,00:07:09,2,2,11,TRUE,TRUE,,
strm_2_statm_2_covm_12_clint_pooled_covs_unchanged,TRUE,00:07:26,2,2,12,TRUE,TRUE,,
strm_2_statm_2_covm_13_clint_pooled_covs_unchanged,TRUE,00:07:17,2,2,13,TRUE,TRUE,,
strm_2_statm_2_covm_14_clint_pooled_covs_unchanged,TRUE,00:07:09,2,2,14,TRUE,TRUE,,
strm_2_statm_2_covm_15_clint_pooled_covs_unchanged,TRUE,00:07:24,2,2,15,TRUE,TRUE,,
strm_2_statm_2_covm_16_clint_pooled_covs_unchanged,TRUE,00:06:24,2,2,16,TRUE,TRUE,,
strm_2_statm_2_covm_17_clint_pooled_covs_unchanged,TRUE,00:06:18,2,2,17,TRUE,TRUE,,
strm_2_statm_2_covm_18_clint_pooled_covs_unchanged,TRUE,00:07:22,2,2,18,TRUE,TRUE,,
strm_2_statm_2_covm_19_clint_pooled_covs_unchanged,TRUE,00:07:13,2,2,19,TRUE,TRUE,,
strm_2_statm_2_covm_20_clint_pooled_covs_unchanged,TRUE,00:07:19,2,2,20,TRUE,TRUE,,
strm_2_statm_2_covm_21_clint_pooled_covs_unchanged,TRUE,00:07:22,2,2,21,TRUE,TRUE,,
strm_2_statm_2_covm_22_clint_pooled_covs_unchanged,TRUE,00:07:03,2,2,22,TRUE,TRUE,,
strm_2_statm_2_covm_23_clint_pooled_covs_unchanged,TRUE,00:07:09,2,2,23,TRUE,TRUE,,
strm_2_statm_2_covm_24_clint_pooled_covs_unchanged,TRUE,00:07:31,2,2,24,TRUE,TRUE,,
strm_2_statm_2_covm_25_clint_pooled_covs_unchanged,TRUE,00:07:08,2,2,25,TRUE,TRUE,,
strm_2_statm_2_covm_26_clint_pooled_covs_unchanged,TRUE,00:00:05,2,2,26,TRUE,TRUE,,
strm_2_statm_2_covm_27_clint_pooled_covs_unchanged,TRUE,00:07:22,2,2,27,TRUE,TRUE,,
strm_2_statm_2_covm_28_clint_pooled_covs_unchanged,TRUE,00:07:05,2,2,28,TRUE,TRUE,,
strm_2_statm_2_covm_29_clint_pooled_covs_unchanged,TRUE,00:07:12,2,2,29,TRUE,TRUE,,
strm_2_statm_2_covm_30_clint_pooled_covs_unchanged,TRUE,00:07:02,2,2,30,TRUE,TRUE,,
strm_2_statm_2_covm_31_clint_pooled_covs_unchanged,TRUE,00:07:41,2,2,31,TRUE,TRUE,,
strm_2_statm_2_covm_32_clint_pooled_covs_unchanged,TRUE,00:07:10,2,2,32,TRUE,TRUE,,
strm_2_statm_3_covm_1_clint_pooled_covs_unchanged,TRUE,00:07:24,2,3,1,TRUE,TRUE,,
strm_2_statm_3_covm_2_clint_pooled_covs_unchanged,TRUE,00:07:27,2,3,2,TRUE,TRUE,,
strm_2_statm_3_covm_4_clint_pooled_covs_unchanged,TRUE,00:07:14,2,3,4,TRUE,TRUE,,
strm_2_statm_3_covm_5_clint_pooled_covs_unchanged,TRUE,00:07:14,2,3,5,TRUE,TRUE,,
strm_2_statm_3_covm_6_clint_pooled_covs_unchanged,TRUE,00:07:20,2,3,6,TRUE,TRUE,,
strm_2_statm_3_covm_7_clint_pooled_covs_unchanged,TRUE,00:07:14,2,3,7,TRUE,TRUE,,
strm_2_statm_3_covm_8_clint_pooled_covs_unchanged,TRUE,00:07:15,2,3,8,TRUE,TRUE,,
strm_2_statm_3_covm_9_clint_pooled_covs_unchanged,TRUE,00:07:21,2,3,9,TRUE,TRUE,,
strm_2_statm_3_covm_10_clint_pooled_covs_unchanged,TRUE,00:07:15,2,3,10,TRUE,TRUE,,
strm_2_statm_3_covm_11_clint_pooled_covs_unchanged,TRUE,00:07:13,2,3,11,TRUE,TRUE,,
strm_2_statm_3_covm_12_clint_pooled_covs_unchanged,TRUE,00:07:15,2,3,12,TRUE,TRUE,,
strm_2_statm_3_covm_13_clint_pooled_covs_unchanged,TRUE,00:06:27,2,3,13,TRUE,TRUE,,
strm_2_statm_3_covm_14_clint_pooled_covs_unchanged,TRUE,00:07:17,2,3,14,TRUE,TRUE,,
strm_2_statm_3_covm_15_clint_pooled_covs_unchanged,TRUE,00:07:12,2,3,15,TRUE,TRUE,,
strm_2_statm_3_covm_16_clint_pooled_covs_unchanged,TRUE,00:07:10,2,3,16,TRUE,TRUE,,
strm_2_statm_3_covm_17_clint_pooled_covs_unchanged,TRUE,00:07:15,2,3,17,TRUE,TRUE,,
strm_2_statm_3_covm_18_clint_pooled_covs_unchanged,TRUE,00:07:15,2,3,18,TRUE,TRUE,,
strm_2_statm_3_covm_19_clint_pooled_covs_unchanged,TRUE,00:07:16,2,3,19,TRUE,TRUE,,
strm_2_statm_3_covm_20_clint_pooled_covs_unchanged,TRUE,00:07:06,2,3,20,TRUE,TRUE,,
strm_2_statm_3_covm_21_clint_pooled_covs_unchanged,TRUE,00:07:17,2,3,21,TRUE,TRUE,,
strm_2_statm_3_covm_22_clint_pooled_covs_unchanged,TRUE,00:07:14,2,3,22,TRUE,TRUE,,
strm_2_statm_3_covm_23_clint_pooled_covs_unchanged,TRUE,00:07:18,2,3,23,TRUE,TRUE,,
strm_2_statm_3_covm_24_clint_pooled_covs_unchanged,TRUE,00:07:19,2,3,24,TRUE,TRUE,,
strm_2_statm_3_covm_25_clint_pooled_covs_unchanged,TRUE,00:07:13,2,3,25,TRUE,TRUE,,
strm_2_statm_3_covm_26_clint_pooled_covs_unchanged,TRUE,00:03:00,2,3,26,TRUE,TRUE,,
strm_2_statm_3_covm_27_clint_pooled_covs_unchanged,TRUE,00:03:14,2,3,27,TRUE,TRUE,,
strm_2_statm_3_covm_28_clint_pooled_covs_unchanged,TRUE,00:03:14,2,3,28,TRUE,TRUE,,
strm_2_statm_3_covm_29_clint_pooled_covs_unchanged,TRUE,00:03:08,2,3,29,TRUE,TRUE,,
strm_2_statm_3_covm_30_clint_pooled_covs_unchanged,TRUE,00:03:14,2,3,30,TRUE,TRUE,,
strm_2_statm_3_covm_31_clint_pooled_covs_unchanged,TRUE,00:03:12,2,3,31,TRUE,TRUE,,
strm_2_statm_3_covm_32_clint_pooled_covs_unchanged,TRUE,00:03:17,2,3,32,TRUE,TRUE,,
strm_2_statm_1_covm_33_clint_pooled_covs_timevar,TRUE,00:02:57,2,1,33,TRUE,TRUE,,
strm_2_statm_1_covm_34_clint_pooled_covs_timevar,TRUE,00:02:43,2,1,34,TRUE,TRUE,,
strm_2_statm_1_covm_35_clint_pooled_covs_timevar,TRUE,00:03:16,2,1,35,TRUE,TRUE,,
strm_2_statm_2_covm_33_clint_pooled_covs_timevar,TRUE,00:03:05,2,2,33,TRUE,TRUE,,
strm_2_statm_2_covm_34_clint_pooled_covs_timevar,TRUE,00:03:19,2,2,34,TRUE,TRUE,,
strm_2_statm_2_covm_35_clint_pooled_covs_timevar,TRUE,00:03:20,2,2,35,TRUE,TRUE,,
strm_2_statm_3_covm_33_clint_pooled_covs_timevar,TRUE,00:02:47,2,3,33,TRUE,TRUE,,
strm_2_statm_3_covm_34_clint_pooled_covs_timevar,TRUE,00:03:02,2,3,34,TRUE,TRUE,,
strm_2_statm_3_covm_35_clint_pooled_covs_timevar,TRUE,00:03:10,2,3,35,TRUE,TRUE,,
strm_2_statm_2_covm_2_clint_phase1_covs_unchanged,TRUE,00:03:02,2,2,2,TRUE,TRUE,,
strm_2_statm_2_covm_3_clint_phase1_covs_unchanged,TRUE,00:03:02,2,2,3,TRUE,TRUE,,
strm_2_statm_2_covm_4_clint_phase1_covs_unchanged,TRUE,00:03:06,2,2,4,TRUE,TRUE,,
strm_2_statm_2_covm_2_clint_pooled_covs_uncorrelatedCLCR,TRUE,00:03:11,2,2,2,TRUE,TRUE,,
strm_2_statm_2_covm_2_clint_pooled_covs_timevar,TRUE,00:03:03,2,2,2,TRUE,TRUE,,
strm_2_statm_2_covm_3_clint_pooled_covs_uncorrelatedCLCR,TRUE,00:03:12,2,2,3,TRUE,TRUE,,
strm_2_statm_2_covm_3_clint_pooled_covs_timevar,TRUE,00:03:19,2,2,3,TRUE,TRUE,,
strm_2_statm_2_covm_4_clint_pooled_covs_uncorrelatedCLCR,TRUE,00:03:07,2,2,4,TRUE,TRUE,,
strm_2_statm_2_covm_4_clint_pooled_covs_timevar,TRUE,00:03:22,2,2,4,TRUE,TRUE,,
