scenario_name,has_minimized,cov_time,strm,statm,covm,rse50_check,rse30_check,which_bad_rse
strm_2_statm_2_covm_2_clint_pooled_covs_unchanged,TRUE,00:06:39,2,2,2,TRUE,TRUE,
strm_2_statm_2_covm_4_clint_pooled_covs_unchanged,TRUE,00:07:41,2,2,4,TRUE,FALSE,THETA7__THETA8
strm_2_statm_2_covm_5_clint_pooled_covs_unchanged,TRUE,00:06:32,2,2,5,TRUE,TRUE,
strm_2_statm_2_covm_6_clint_pooled_covs_unchanged,TRUE,00:07:53,2,2,6,TRUE,TRUE,
strm_2_statm_2_covm_7_clint_pooled_covs_unchanged,TRUE,00:06:36,2,2,7,TRUE,FALSE,THETA6__THETA8
strm_2_statm_2_covm_8_clint_pooled_covs_unchanged,TRUE,00:06:51,2,2,8,TRUE,TRUE,
strm_2_statm_2_covm_9_clint_pooled_covs_unchanged,TRUE,00:07:44,2,2,9,TRUE,TRUE,
strm_2_statm_2_covm_10_clint_pooled_covs_unchanged,TRUE,00:08:14,2,2,10,TRUE,FALSE,THETA6__THETA8
strm_2_statm_2_covm_11_clint_pooled_covs_unchanged,TRUE,00:06:49,2,2,11,TRUE,TRUE,
strm_2_statm_2_covm_12_clint_pooled_covs_unchanged,TRUE,00:07:19,2,2,12,TRUE,FALSE,THETA6
strm_2_statm_2_covm_13_clint_pooled_covs_unchanged,TRUE,00:07:34,2,2,13,FALSE,FALSE,THETA6__THETA8
strm_2_statm_2_covm_14_clint_pooled_covs_unchanged,TRUE,00:06:53,2,2,14,TRUE,TRUE,
strm_2_statm_2_covm_15_clint_pooled_covs_unchanged,TRUE,00:07:54,2,2,15,TRUE,TRUE,
strm_2_statm_2_covm_16_clint_pooled_covs_unchanged,TRUE,00:07:45,2,2,16,TRUE,TRUE,
strm_2_statm_2_covm_17_clint_pooled_covs_unchanged,TRUE,00:07:33,2,2,17,FALSE,FALSE,THETA6
strm_2_statm_2_covm_18_clint_pooled_covs_unchanged,TRUE,00:07:48,2,2,18,TRUE,FALSE,THETA7
strm_2_statm_2_covm_19_clint_pooled_covs_unchanged,TRUE,00:07:39,2,2,19,TRUE,TRUE,
strm_2_statm_2_covm_20_clint_pooled_covs_unchanged,TRUE,00:06:46,2,2,20,TRUE,TRUE,
strm_2_statm_2_covm_21_clint_pooled_covs_unchanged,TRUE,00:07:45,2,2,21,TRUE,TRUE,
strm_2_statm_2_covm_22_clint_pooled_covs_unchanged,TRUE,00:07:46,2,2,22,TRUE,TRUE,
strm_2_statm_2_covm_23_clint_pooled_covs_unchanged,TRUE,00:07:11,2,2,23,TRUE,TRUE,
strm_2_statm_2_covm_24_clint_pooled_covs_unchanged,TRUE,00:07:46,2,2,24,TRUE,FALSE,THETA7
strm_2_statm_2_covm_25_clint_pooled_covs_unchanged,TRUE,00:07:26,2,2,25,FALSE,FALSE,THETA7__THETA8
strm_2_statm_2_covm_26_clint_pooled_covs_unchanged,TRUE,00:07:50,2,2,26,TRUE,TRUE,
strm_2_statm_2_covm_27_clint_pooled_covs_unchanged,TRUE,00:07:32,2,2,27,TRUE,FALSE,THETA7
strm_2_statm_2_covm_28_clint_pooled_covs_unchanged,TRUE,00:07:08,2,2,28,FALSE,FALSE,THETA6__THETA7__THETA8
strm_2_statm_2_covm_29_clint_pooled_covs_unchanged,TRUE,00:06:16,2,2,29,FALSE,FALSE,THETA7__THETA8__THETA9
strm_2_statm_2_covm_30_clint_pooled_covs_unchanged,TRUE,00:02:50,2,2,30,FALSE,FALSE,THETA6__THETA7__THETA8__THETA9__THETA10__THETA11
strm_2_statm_2_covm_31_clint_pooled_covs_unchanged,TRUE,00:07:15,2,2,31,FALSE,FALSE,THETA8
strm_2_statm_2_covm_32_clint_pooled_covs_unchanged,TRUE,00:02:30,2,2,32,FALSE,FALSE,THETA7__THETA8__THETA9__THETA10__THETA11
strm_2_statm_3_covm_1_clint_pooled_covs_unchanged,TRUE,00:05:28,2,3,1,TRUE,TRUE,
strm_2_statm_3_covm_4_clint_pooled_covs_unchanged,TRUE,00:07:42,2,3,4,TRUE,FALSE,THETA7__THETA8
strm_2_statm_3_covm_5_clint_pooled_covs_unchanged,TRUE,00:06:40,2,3,5,TRUE,TRUE,
strm_2_statm_3_covm_6_clint_pooled_covs_unchanged,TRUE,00:07:41,2,3,6,TRUE,TRUE,
strm_2_statm_3_covm_7_clint_pooled_covs_unchanged,TRUE,00:07:48,2,3,7,TRUE,FALSE,THETA6__THETA8
strm_2_statm_3_covm_8_clint_pooled_covs_unchanged,TRUE,00:06:52,2,3,8,TRUE,TRUE,
strm_2_statm_3_covm_9_clint_pooled_covs_unchanged,TRUE,00:07:54,2,3,9,TRUE,TRUE,
strm_2_statm_3_covm_10_clint_pooled_covs_unchanged,TRUE,00:07:37,2,3,10,TRUE,FALSE,THETA6__THETA8
strm_2_statm_3_covm_11_clint_pooled_covs_unchanged,TRUE,00:07:00,2,3,11,TRUE,FALSE,THETA6
strm_2_statm_3_covm_12_clint_pooled_covs_unchanged,TRUE,00:07:31,2,3,12,TRUE,FALSE,THETA6
strm_2_statm_3_covm_13_clint_pooled_covs_unchanged,TRUE,00:07:09,2,3,13,FALSE,FALSE,THETA6__THETA8
strm_2_statm_3_covm_14_clint_pooled_covs_unchanged,TRUE,00:06:45,2,3,14,TRUE,TRUE,
strm_2_statm_3_covm_15_clint_pooled_covs_unchanged,TRUE,00:07:36,2,3,15,TRUE,TRUE,
strm_2_statm_3_covm_16_clint_pooled_covs_unchanged,TRUE,00:07:44,2,3,16,TRUE,TRUE,
strm_2_statm_3_covm_17_clint_pooled_covs_unchanged,TRUE,00:07:59,2,3,17,FALSE,FALSE,THETA6
strm_2_statm_3_covm_18_clint_pooled_covs_unchanged,TRUE,00:08:04,2,3,18,TRUE,FALSE,THETA7
strm_2_statm_3_covm_19_clint_pooled_covs_unchanged,TRUE,00:08:19,2,3,19,TRUE,TRUE,
strm_2_statm_3_covm_20_clint_pooled_covs_unchanged,TRUE,00:06:37,2,3,20,TRUE,TRUE,
strm_2_statm_3_covm_21_clint_pooled_covs_unchanged,TRUE,00:07:13,2,3,21,TRUE,TRUE,
strm_2_statm_3_covm_22_clint_pooled_covs_unchanged,TRUE,00:07:28,2,3,22,TRUE,TRUE,
strm_2_statm_3_covm_23_clint_pooled_covs_unchanged,TRUE,00:06:43,2,3,23,TRUE,TRUE,
strm_2_statm_3_covm_24_clint_pooled_covs_unchanged,TRUE,00:07:43,2,3,24,TRUE,FALSE,THETA7
strm_2_statm_3_covm_25_clint_pooled_covs_unchanged,TRUE,00:07:57,2,3,25,FALSE,FALSE,THETA6__THETA7__THETA8
strm_2_statm_3_covm_26_clint_pooled_covs_unchanged,TRUE,00:07:32,2,3,26,TRUE,TRUE,
strm_2_statm_3_covm_27_clint_pooled_covs_unchanged,TRUE,00:07:42,2,3,27,TRUE,FALSE,THETA7
strm_2_statm_3_covm_28_clint_pooled_covs_unchanged,TRUE,00:06:23,2,3,28,FALSE,FALSE,THETA6__THETA7__THETA8
strm_2_statm_3_covm_29_clint_pooled_covs_unchanged,TRUE,00:06:50,2,3,29,FALSE,FALSE,THETA7__THETA8__THETA9
strm_2_statm_3_covm_30_clint_pooled_covs_unchanged,TRUE,00:03:26,2,3,30,FALSE,FALSE,THETA6__THETA7__THETA8__THETA9__THETA10__THETA11
strm_2_statm_3_covm_31_clint_pooled_covs_unchanged,TRUE,00:07:16,2,3,31,FALSE,FALSE,THETA8
strm_2_statm_3_covm_32_clint_pooled_covs_unchanged,TRUE,00:02:46,2,3,32,FALSE,FALSE,THETA7__THETA8__THETA9__THETA10__THETA11
strm_2_statm_1_covm_33_clint_pooled_covs_timevar,TRUE,00:06:39,2,1,33,TRUE,TRUE,
strm_2_statm_1_covm_34_clint_pooled_covs_timevar,TRUE,00:07:44,2,1,34,TRUE,TRUE,
strm_2_statm_1_covm_35_clint_pooled_covs_timevar,TRUE,00:08:44,2,1,35,TRUE,TRUE,
strm_2_statm_2_covm_33_clint_pooled_covs_timevar,TRUE,00:06:49,2,2,33,TRUE,TRUE,
strm_2_statm_2_covm_34_clint_pooled_covs_timevar,TRUE,00:07:41,2,2,34,TRUE,TRUE,
strm_2_statm_2_covm_35_clint_pooled_covs_timevar,TRUE,00:07:54,2,2,35,TRUE,TRUE,
strm_2_statm_3_covm_33_clint_pooled_covs_timevar,TRUE,00:07:13,2,3,33,TRUE,TRUE,
strm_2_statm_3_covm_34_clint_pooled_covs_timevar,TRUE,00:07:43,2,3,34,TRUE,TRUE,
strm_2_statm_3_covm_35_clint_pooled_covs_timevar,TRUE,00:08:05,2,3,35,TRUE,FALSE,THETA7
strm_2_statm_2_covm_2_clint_phase1_covs_unchanged,TRUE,00:02:26,2,2,2,TRUE,TRUE,
strm_2_statm_2_covm_3_clint_phase1_covs_unchanged,TRUE,00:03:10,2,2,3,TRUE,TRUE,
strm_2_statm_2_covm_4_clint_phase1_covs_unchanged,TRUE,00:03:47,2,2,4,FALSE,FALSE,THETA6__THETA7__THETA8
strm_2_statm_2_covm_2_clint_pooled_covs_uncorrelatedCLCR,TRUE,00:06:56,2,2,2,TRUE,TRUE,
strm_2_statm_2_covm_2_clint_pooled_covs_timevar,TRUE,00:06:47,2,2,2,TRUE,TRUE,
strm_2_statm_2_covm_3_clint_pooled_covs_uncorrelatedCLCR,TRUE,00:07:23,2,2,3,TRUE,TRUE,
strm_2_statm_2_covm_3_clint_pooled_covs_timevar,TRUE,00:07:20,2,2,3,TRUE,TRUE,
strm_2_statm_2_covm_4_clint_pooled_covs_uncorrelatedCLCR,TRUE,00:07:36,2,2,4,TRUE,FALSE,THETA7__THETA8
strm_2_statm_2_covm_4_clint_pooled_covs_timevar,TRUE,00:06:59,2,2,4,TRUE,FALSE,THETA7__THETA8
